cd,カレントディレクトリを移動する
ls,現在のディレクトリにあるファイルを表示する
netstat -nr,ルーティングテーブルの確認
ifconfig,IPアドレスの確認
pwd,現在のディレクトリのパスを表示する
history,履歴の表示
man コマンド名,コマンドのマニュアル表示
route add default IPアドレス,デフォルトゲートウェイを追加
route change default IPアドレス,デフォルトゲートウェイを変更
touch ファイル名,中身が空のファイルを作る
mkdir ファイル名,中身が空のディレクトリを作る
copy ファイル名 相対パス,あるファイルを相対パス先のディレクトリの中にコピーする
copy ファイル名 コピー後のファイル名,あるファイルをコピーする
rm ファイル名 ,あるファイルを消去する
open .,現在のターミナルのディレクトリをFinderで開く
reboot,再起動
minicom -C ファイル名,シリアル通信の際、logを取る
brew update,Homebrewをアップデートする
gcc,c言語のコンパイル. -o:実行ファイル名の指定 -dylib:リンカ
javac,javaのコンパイラ
find,ディレクトリ名を検索すると、そのディレクトリと配下にあるファイル名が出てくる
tree,ツリー構造を表示する
rm -d ディレクトリ名,ディレクトリを消去する
git init ファイル名,gitのインデックスに追加する
git commit -m "コメント",変更内容をローカルリポジトリにコミットする
git status,gitのステートを確認する
git remote add origin "アドレス",リモートリポジトリの情報を追加
git push origin master,ローカルリポジトリをプッシュしてリモートリポジトリへ反映させる
ping IPaddress,宛先との疎通を確認する
